2025/09/24 08:30:12 [error] 19884#20680: *7084 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=100&_fields=id%2Clink%2Cmenu_order%2Cparent%2Ctitle%2Ctype&orderby=menu_order&order=asc&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Ftemplate"
2025/09/24 14:04:55 [error] 23496#24404: *6813 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=hoverIntent,wp-dom-ready,wp-hooks&ver=6.8.2 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fwp_template%2Ftwentytwentyfive%2F%2Fpage&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13408 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/twentytwentyfive//footer?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13418 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp-block-editor/v1/navigation-fallback?_embed=true&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13418 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp-block-editor/v1/navigation-fallback?_embed=true&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13410 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=view&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13410 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=view&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13412 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/menus?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13412 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/menus?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13414 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=view&parent=0&order=asc&orderby=id&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13414 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=view&parent=0&order=asc&orderby=id&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
